AC,AL,AM,AP,BA,CE,DF,ES,EX,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
,,,,Milagres,,,,,,,Dores de Guanhães,,,,,,,Paranavaí,,,,,Monte Alegre dos Campos,São João do Sul,,Itaporanga,
,,,,Mirangaba,,,,,,,Dores do Indaiá,,,,,,,Paraíso do Norte,,,,,Monte Belo do Sul,São Lourenço do Oeste,,Itapura,
,,,,Mirante,,,,,,,Dores do Turvo,,,,,,,Pato Bragado,,,,,Montenegro,São Ludgero,,Itapuí,
,,,,Monte Santo,,,,,,,Doresópolis,,,,,,,Pato Branco,,,,,Mormaço,São Martinho,,Itaquaquecetuba,
,,,,Morpará,,,,,,,Douradoquara,,,,,,,Paula Freitas,,,,,Morrinhos do Sul,São Miguel da Boa Vista,,Itararé,
,,,,Morro do Chapéu,,,,,,,Durandé,,,,,,,Paulo Frontin,,,,,Morro Redondo,São Miguel do Oeste,,Itariri,
,,,,Mortugaba,,,,,,,Elói Mendes,,,,,,,Peabiru,,,,,Morro Reuter,São Pedro de Alcântara,,Itatiba,
,,,,Mucugê,,,,,,,Engenheiro Caldas,,,,,,,Perobal,,,,,Mostardas,Taió,,Itatinga,
,,,,Mucuri,,,,,,,Engenheiro Navarro,,,,,,,Pinhais,,,,,Muitos Capões,Tangará,,Itaí,
,,,,Mulungu do Morro,,,,,,,Entre Folhas,,,,,,,Pinhal de São Bento,,,,,Muliterno,Tigrinhos,,Itirapina,
,,,,Mundo Novo,,,,,,,Entre Rios de Minas,,,,,,,Pinhalão,,,,,Muçum,Tijucas,,Itirapuã,
,,,,Muniz Ferreira,,,,,,,Ervália,,,,,,,Pinhão,,,,,Nicolau Vergueiro,Timbé do Sul,,Itobi,
,,,,Muquém do São Francisco,,,,,,,Esmeraldas,,,,,,,Piraquara,,,,,Nonoai,Timbó,,Itu,
,,,,Muritiba,,,,,,,Espera Feliz,,,,,,,Piraí do Sul,,,,,Nova Alvorada,Timbó Grande,,Itupeva,
,,,,Mutuípe,,,,,,,Espinosa,,,,,,,Pitanga,,,,,Nova Araçá,Treviso,,Ituverava,
,,,,Nazaré,,,,,,,Espírito Santo do Dourado,,,,,,,Pitangueiras,,,,,Nova Bassano,Treze Tílias,,Itápolis,
,,,,Nilo Peçanha,,,,,,,Estiva,,,,,,,Piên,,,,,Nova Boa Vista,Treze de Maio,,Jaborandi,
,,,,Nordestina,,,,,,,Estrela Dalva,,,,,,,Planaltina do Paraná,,,,,Nova Bréscia,Trombudo Central,,Jaboticabal,
,,,,Nova Canaã,,,,,,,Estrela do Indaiá,,,,,,,Planalto,,,,,Nova Candelária,Três Barras,,Jacareí,
,,,,Nova Fátima,,,,,,,Estrela do Sul,,,,,,,Ponta Grossa,,,,,Nova Esperança do Sul,Tubarão,,Jaci,
,,,,Nova Ibiá,,,,,,,Eugenópolis,,,,,,,Pontal do Paraná,,,,,Nova Hartz,Tunápolis,,Jacupiranga,
,,,,Nova Itarana,,,,,,,Ewbank da Câmara,,,,,,,Porecatu,,,,,Nova Palma,Turvo,,Jaguariúna,
,,,,Nova Redenção,,,,,,,Extrema,,,,,,,Porto Amazonas,,,,,Nova Petrópolis,União do Oeste,,Jales,
,,,,Nova Soure,,,,,,,Fama,,,,,,,Porto Barreiro,,,,,Nova Prata,Urubici,,Jambeiro,
,,,,Nova Viçosa,,,,,,,Faria Lemos,,,,,,,Porto Rico,,,,,Nova Pádua,Urupema,,Jandira,
,,,,Novo Horizonte,,,,,,,Felisburgo,,,,,,,Porto Vitória,,,,,Nova Ramada,Urussanga,,Jardinópolis,
,,,,Novo Triunfo,,,,,,,Felixlândia,,,,,,,Prado Ferreira,,,,,Nova Roma do Sul,Vargem,,Jarinu,
,,,,Olindina,,,,,,,Felício dos Santos,,,,,,,Pranchita,,,,,Nova Santa Rita,Vargem Bonita,,Jaú,
,,,,Oliveira dos Brejinhos,,,,,,,Fernandes Tourinho,,,,,,,Presidente Castelo Branco,,,,,Novo Barreiro,Vargeão,,Jeriquara,
,,,,Ouriçangas,,,,,,,Ferros,,,,,,,Primeiro de Maio,,,,,Novo Cabrais,Vidal Ramos,,Joanópolis,
,,,,Ourolândia,,,,,,,Fervedouro,,,,,,,Prudentópolis,,,,,Novo Hamburgo,Videira,,José Bonifácio,
,,,,Palmas de Monte Alto,,,,,,,Florestal,,,,,,,Pérola,,,,,Novo Machado,Vitor Meireles,,João Ramalho,
,,,,Palmeiras,,,,,,,Formiga,,,,,,,Pérola d'Oeste,,,,,Novo Tiradentes,Witmarsum,,Jumirim,
,,,,Paramirim,,,,,,,Formoso,,,,,,,Quarto Centenário,,,,,Novo Xingu,Xanxerê,,Jundiaí,
,,,,Paratinga,,,,,,,Fortaleza de Minas,,,,,,,Quatiguá,,,,,Não-Me-Toque,Xavantina,,Junqueirópolis,
,,,,Paripiranga,,,,,,,Fortuna de Minas,,,,,,,Quatro Barras,,,,,Osório,Xaxim,,Juquitiba,
,,,,Pau Brasil,,,,,,,Francisco Badaró,,,,,,,Quatro Pontes,,,,,Paim Filho,Zortéa,,Juquiá,
,,,,Paulo Afonso,,,,,,,Francisco Dumont,,,,,,,Quedas do Iguaçu,,,,,Palmares do Sul,Água Doce,,Júlio Mesquita,
,,,,Pedro Alexandre,,,,,,,Francisco Sá,,,,,,,Querência do Norte,,,,,Palmeira das Missões,Águas Frias,,Lagoinha,
,,,,Pedrão,,,,,,,Franciscópolis,,,,,,,Quinta do Sol,,,,,Palmitinho,Águas Mornas,,Laranjal Paulista,
,,,,Piatã,,,,,,,Frei Gaspar,,,,,,,Quitandinha,,,,,Panambi,Águas de Chapecó,,Lavrinhas,
,,,,Pilão Arcado,,,,,,,Frei Inocêncio,,,,,,,Ramilândia,,,,,Pantano Grande,,,Lavínia,
,,,,Pindaí,,,,,,,Frei Lagonegro,,,,,,,Rancho Alegre,,,,,Paraí,,,Leme,
,,,,Pindobaçu,,,,,,,Fronteira,,,,,,,Rancho Alegre D'Oeste,,,,,Paraíso do Sul,,,Lençóis Paulista,
,,,,Pintadas,,,,,,,Fronteira dos Vales,,,,,,,Realeza,,,,,Pareci Novo,,,Limeira,
,,,,Piraí do Norte,,,,,,,Fruta de Leite,,,,,,,Rebouças,,,,,Parobé,,,Lindóia,
,,,,Piripá,,,,,,,Frutal,,,,,,,Renascença,,,,,Passa Sete,,,Lins,
,,,,Piritiba,,,,,,,Funilândia,,,,,,,Reserva,,,,,Passo Fundo,,,Lorena,
,,,,Planaltino,,,,,,,Galiléia,,,,,,,Reserva do Iguaçu,,,,,Passo do Sobrado,,,Lourdes,
,,,,Planalto,,,,,,,Gameleiras,,,,,,,Ribeirão Claro,,,,,Paulo Bento,,,Louveira,
,,,,Pojuca,,,,,,,Glaucilândia,,,,,,,Ribeirão do Pinhal,,,,,Paverama,,,Lucianópolis,
,,,,Ponto Novo,,,,,,,Goiabeira,,,,,,,Rio Azul,,,,,Pedras Altas,,,Lucélia,
,,,,Porto Seguro,,,,,,,Goianá,,,,,,,Rio Bom,,,,,Pedro Osório,,,Luiziânia,
,,,,Potiraguá,,,,,,,Gonzaga,,,,,,,Rio Bonito do Iguaçu,,,,,Pejuçara,,,Lupércio,
,,,,Poções,,,,,,,Gonçalves,,,,,,,Rio Branco do Ivaí,,,,,Pelotas,,,Lutécia,
,,,,Prado,,,,,,,Gouveia,,,,,,,Rio Branco do Sul,,,,,Picada Café,,,Luís Antônio,
,,,,Presidente Dutra,,,,,,,Governador Valadares,,,,,,,Rio Negro,,,,,Pinhal,,,Macatuba,
,,,,Presidente Jânio Quadros,,,,,,,Grupiara,,,,,,,Rolândia,,,,,Pinhal Grande,,,Macaubal,
,,,,Presidente Tancredo Neves,,,,,,,Grão Mogol,,,,,,,Roncador,,,,,Pinhal da Serra,,,Macedônia,
,,,,Pé de Serra,,,,,,,Guanhães,,,,,,,Rondon,,,,,Pinheirinho do Vale,,,Magda,
,,,,Queimadas,,,,,,,Guapé,,,,,,,Rosário do Ivaí,,,,,Pinheiro Machado,,,Mairinque,
,,,,Quijingue,,,,,,,Guaraciaba,,,,,,,Sabáudia,,,,,Pinto Bandeira,,,Mairiporã,
,,,,Quixabeira,,,,,,,Guaraciama,,,,,,,Salgado Filho,,,,,Pirapó,,,Manduri,
,,,,Rafael Jambeiro,,,,,,,Guarani,,,,,,,Salto do Itararé,,,,,Piratini,,,Marabá Paulista,
,,,,Remanso,,,,,,,Guaranésia,,,,,,,Salto do Lontra,,,,,Planalto,,,Maracaí,
,,,,Retirolândia,,,,,,,Guarará,,,,,,,Santa Amélia,,,,,Ponte Preta,,,Marapoama,
,,,,Riacho de Santana,,,,,,,Guarda-Mor,,,,,,,Santa Cecília do Pavão,,,,,Pontão,,,Marinópolis,
,,,,Riachão das Neves,,,,,,,Guaxupé,,,,,,,Santa Cruz de Monte Castelo,,,,,Porto Alegre,,,Mariápolis,
,,,,Riachão do Jacuípe,,,,,,,Guidoval,,,,,,,Santa Fé,,,,,Porto Lucena,,,Martinópolis,
,,,,Ribeira do Amparo,,,,,,,Guimarânia,,,,,,,Santa Helena,,,,,Porto Mauá,,,Marília,
,,,,Ribeira do Pombal,,,,,,,Guiricema,,,,,,,Santa Inês,,,,,Porto Vera Cruz,,,Matão,
,,,,Ribeirão do Largo,,,,,,,Gurinhatã,,,,,,,Santa Isabel do Ivaí,,,,,Porto Xavier,,,Mauá,
,,,,Rio Real,,,,,,,Heliodora,,,,,,,Santa Izabel do Oeste,,,,,Portão,,,Mendonça,
,,,,Rio de Contas,,,,,,,Iapu,,,,,,,Santa Lúcia,,,,,Pouso Novo,,,Meridiano,
,,,,Rio do Antônio,,,,,,,Ibertioga,,,,,,,Santa Maria do Oeste,,,,,Poço das Antas,,,Mesópolis,
,,,,Rio do Pires,,,,,,,Ibiaí,,,,,,,Santa Mariana,,,,,Presidente Lucena,,,Miguelópolis,
,,,,Rodelas,,,,,,,Ibiracatu,,,,,,,Santa Mônica,,,,,Progresso,,,Mineiros do Tietê,
,,,,Ruy Barbosa,,,,,,,Ibiraci,,,,,,,Santa Tereza do Oeste,,,,,Protásio Alves,,,Mira Estrela,
,,,,Salinas da Margarida,,,,,,,Ibirité,,,,,,,Santa Terezinha de Itaipu,,,,,Putinga,,,Miracatu,
,,,,Salvador,,,,,,,Ibitiúra de Minas,,,,,,,Santana do Itararé,,,,,Quaraí,,,Mirandópolis,
,,,,Santa Brígida,,,,,,,Ibituruna,,,,,,,Santo Antônio da Platina,,,,,Quatro Irmãos,,,Mirante do Paranapanema,
,,,,Santa Bárbara,,,,,,,Ibiá,,,,,,,Santo Antônio do Caiuá,,,,,Quevedos,,,Mirassol,
,,,,Santa Cruz Cabrália,,,,,,,Icaraí de Minas,,,,,,,Santo Antônio do Paraíso,,,,,Quinze de Novembro,,,Mirassolândia,
,,,,Santa Cruz da Vitória,,,,,,,Igarapé,,,,,,,Santo Antônio do Sudoeste,,,,,Redentora,,,Mococa,
,,,,Santa Inês,,,,,,,Igaratinga,,,,,,,Santo Inácio,,,,,Relvado,,,Mogi Guaçu,
,,,,Santa Luzia,,,,,,,Iguatama,,,,,,,Sapopema,,,,,Restinga Sêca,,,Mogi Mirim,
,,,,Santa Maria da Vitória,,,,,,,Ijaci,,,,,,,Sarandi,,,,,Rio Grande,,,Mogi das Cruzes,
,,,,Santa Rita de Cássia,,,,,,,Ilicínea,,,,,,,Saudade do Iguaçu,,,,,Rio Pardo,,,Mombuca,
,,,,Santa Terezinha,,,,,,,Imbé de Minas,,,,,,,Sengés,,,,,Rio dos Índios,,,Mongaguá,
,,,,Santaluz,,,,,,,Inconfidentes,,,,,,,Serranópolis do Iguaçu,,,,,Riozinho,,,Monte Alegre do Sul,
,,,,Santana,,,,,,,Indaiabira,,,,,,,Sertaneja,,,,,Roca Sales,,,Monte Alto,
,,,,Santanópolis,,,,,,,Indianópolis,,,,,,,Sertanópolis,,,,,Rodeio Bonito,,,Monte Aprazível,
,,,,Santo Amaro,,,,,,,Ingaí,,,,,,,Siqueira Campos,,,,,Rolador,,,Monte Azul Paulista,
,,,,Santo Antônio de Jesus,,,,,,,Inhapim,,,,,,,Sulina,,,,,Rolante,,,Monte Castelo,
,,,,Santo Estêvão,,,,,,,Inhaúma,,,,,,,São Carlos do Ivaí,,,,,Ronda Alta,,,Monte Mor,
,,,,Sapeaçu,,,,,,,Inimutaba,,,,,,,São Jerônimo da Serra,,,,,Rondinha,,,Monteiro Lobato,
,,,,Saubara,,,,,,,Ipaba,,,,,,,São Jorge d'Oeste,,,,,Roque Gonzales,,,Monções,
,,,,Saúde,,,,,,,Ipanema,,,,,,,São Jorge do Ivaí,,,,,Rosário do Sul,,,Morro Agudo,
,,,,Seabra,,,,,,,Ipatinga,,,,,,,São Jorge do Patrocínio,,,,,Sagrada Família,,,Morungaba,
,,,,Sebastião Laranjeiras,,,,,,,Ipiaçu,,,,,,,São José da Boa Vista,,,,,Saldanha Marinho,,,Motuca,
,,,,Senhor do Bonfim,,,,,,,Ipuiúna,,,,,,,São José das Palmeiras,,,,,Salto do Jacuí,,,Murutinga do Sul,
,,,,Sento Sé,,,,,,,Iraí de Minas,,,,,,,São José dos Pinhais,,,,,Salvador das Missões,,,Nantes,
,,,,Serra Dourada,,,,,,,Itabira,,,,,,,São João,,,,,Salvador do Sul,,,Narandiba,
,,,,Serra Preta,,,,,,,Itabirinha,,,,,,,São João do Caiuá,,,,,Sananduva,,,Natividade da Serra,
,,,,Serra do Ramalho,,,,,,,Itabirito,,,,,,,São João do Ivaí,,,,,Sant'Ana do Livramento,,,Nazaré Paulista,
,,,,Serrinha,,,,,,,Itacambira,,,,,,,São João do Triunfo,,,,,Santa Bárbara do Sul,,,Neves Paulista,
,,,,Serrolândia,,,,,,,Itacarambi,,,,,,,São Manoel do Paraná,,,,,Santa Cecília do Sul,,,Nhandeara,
,,,,Simões Filho,,,,,,,Itaguara,,,,,,,São Mateus do Sul,,,,,Santa Clara do Sul,,,Nipoã,
,,,,Sobradinho,,,,,,,Itaipé,,,,,,,São Miguel do Iguaçu,,,,,Santa Cruz do Sul,,,Nova Aliança,
,,,,Souto Soares,,,,,,,Itajubá,,,,,,,São Pedro do Iguaçu,,,,,Santa Margarida do Sul,,,Nova Campina,
,,,,Sátiro Dias,,,,,,,Itamarandiba,,,,,,,São Pedro do Ivaí,,,,,Santa Maria,,,Nova Canaã Paulista,
,,,,São Desidério,,,,,,,Itamarati de Minas,,,,,,,São Pedro do Paraná,,,,,Santa Maria do Herval,,,Nova Castilho,
,,,,São Domingos,,,,,,,Itambacuri,,,,,,,São Sebastião da Amoreira,,,,,Santa Rosa,,,Nova Europa,
,,,,São Felipe,,,,,,,Itambé do Mato Dentro,,,,,,,São Tomé,,,,,Santa Tereza,,,Nova Granada,
,,,,São Francisco do Conde,,,,,,,Itamogi,,,,,,,Tamarana,,,,,Santa Vitória do Palmar,,,Nova Guataporanga,
,,,,São Félix,,,,,,,Itamonte,,,,,,,Tamboara,,,,,Santana da Boa Vista,,,Nova Independência,
,,,,São Félix do Coribe,,,,,,,Itanhandu,,,,,,,Tapejara,,,,,Santiago,,,Nova Luzitânia,
,,,,São Gabriel,,,,,,,Itanhomi,,,,,,,Tapira,,,,,Santo Antônio da Patrulha,,,Nova Odessa,
,,,,São Gonçalo dos Campos,,,,,,,Itaobim,,,,,,,Teixeira Soares,,,,,Santo Antônio das Missões,,,Novais,
,,,,São José da Vitória,,,,,,,Itapagipe,,,,,,,Telêmaco Borba,,,,,Santo Antônio do Palma,,,Novo Horizonte,
,,,,São José do Jacuípe,,,,,,,Itapecerica,,,,,,,Terra Boa,,,,,Santo Antônio do Planalto,,,Nuporanga,
,,,,São Miguel das Matas,,,,,,,Itapeva,,,,,,,Terra Rica,,,,,Santo Augusto,,,Ocauçu,
,,,,São Sebastião do Passé,,,,,,,Itatiaiuçu,,,,,,,Terra Roxa,,,,,Santo Cristo,,,Olímpia,
,,,,Sítio do Mato,,,,,,,Itaverava,,,,,,,Tibagi,,,,,Santo Expedito do Sul,,,Onda Verde,
,,,,Sítio do Quinto,,,,,,,Itaú de Minas,,,,,,,Tijucas do Sul,,,,,Santo Ângelo,,,Oriente,
,,,,Tabocas do Brejo Velho,,,,,,,Itaúna,,,,,,,Toledo,,,,,Sapiranga,,,Orindiúva,
,,,,Tanhaçu,,,,,,,Itinga,,,,,,,Tomazina,,,,,Sapucaia do Sul,,,Orlândia,
,,,,Tanque Novo,,,,,,,Itueta,,,,,,,Três Barras do Paraná,,,,,Sarandi,,,Osasco,
,,,,Tanquinho,,,,,,,Ituiutaba,,,,,,,Tunas do Paraná,,,,,Seberi,,,Oscar Bressane,
,,,,Taperoá,,,,,,,Itumirim,,,,,,,Tuneiras do Oeste,,,,,Sede Nova,,,Osvaldo Cruz,
,,,,Tapiramutá,,,,,,,Iturama,,,,,,,Tupãssi,,,,,Segredo,,,Ourinhos,
,,,,Teixeira de Freitas,,,,,,,Itutinga,,,,,,,Turvo,,,,,Selbach,,,Ouro Verde,
,,,,Teodoro Sampaio,,,,,,,Jaboticatubas,,,,,,,Ubiratã,,,,,Senador Salgado Filho,,,Ouroeste,
,,,,Teofilândia,,,,,,,Jacinto,,,,,,,Umuarama,,,,,Sentinela do Sul,,,Pacaembu,
,,,,Teolândia,,,,,,,Jacutinga,,,,,,,Uniflor,,,,,Serafina Corrêa,,,Palestina,
,,,,Terra Nova,,,,,,,Jacuí,,,,,,,União da Vitória,,,,,Sertão,,,Palmares Paulista,
,,,,Tremedal,,,,,,,Jaguaraçu,,,,,,,Uraí,,,,,Sertão Santana,,,Palmeira d'Oeste,
,,,,Tucano,,,,,,,Jampruca,,,,,,,Ventania,,,,,Sete de Setembro,,,Palmital,
,,,,Uauá,,,,,,,Janaúba,,,,,,,Vera Cruz do Oeste,,,,,Severiano de Almeida,,,Panorama,
,,,,Ubaitaba,,,,,,,Januária,,,,,,,Verê,,,,,Silveira Martins,,,Paraguaçu Paulista,
,,,,Ubatã,,,,,,,Japaraíba,,,,,,,Virmond,,,,,Sinimbu,,,Paraibuna,
,,,,Ubaíra,,,,,,,Japonvar,,,,,,,Vitorino,,,,,Sobradinho,,,Paranapanema,
,,,,Uibaí,,,,,,,Jaíba,,,,,,,Wenceslau Braz,,,,,Soledade,,,Paranapuã,
,,,,Umburanas,,,,,,,Jeceaba,,,,,,,Xambrê,,,,,São Borja,,,Parapuã,
,,,,Una,,,,,,,Jenipapo de Minas,,,,,,,Ângulo,,,,,São Domingos do Sul,,,Paraíso,
,,,,Urandi,,,,,,,Jequeri,,,,,,,,,,,,São Francisco de Assis,,,Pardinho,
,,,,Uruçuca,,,,,,,Jequitaí,,,,,,,,,,,,São Francisco de Paula,,,Pariquera-Açu,
,,,,Utinga,,,,,,,Jequitibá,,,,,,,,,,,,São Gabriel,,,Parisi,
,,,,Valente,,,,,,,Jequitinhonha,,,,,,,,,,,,São Jerônimo,,,Patrocínio Paulista,
,,,,Valença,,,,,,,Jesuânia,,,,,,,,,,,,São Jorge,,,Paulicéia,
,,,,Varzedo,,,,,,,Joanésia,,,,,,,,,,,,São José das Missões,,,Paulistânia,
,,,,Vera Cruz,,,,,,,Joaquim Felício,,,,,,,,,,,,São José do Herval,,,Paulo de Faria,
,,,,Vereda,,,,,,,Joaíma,,,,,,,,,,,,São José do Hortêncio,,,Paulínia,
,,,,Vitória da Conquista,,,,,,,Jordânia,,,,,,,,,,,,São José do Inhacorá,,,Pederneiras,
,,,,Várzea Nova,,,,,,,Josenópolis,,,,,,,,,,,,São José do Norte,,,Pedra Bela,
,,,,Várzea da Roça,,,,,,,José Gonçalves de Minas,,,,,,,,,,,,São José do Ouro,,,Pedranópolis,
,,,,Várzea do Poço,,,,,,,José Raydan,,,,,,,,,,,,São José do Sul,,,Pedregulho,
,,,,Wagner,,,,,,,João Monlevade,,,,,,,,,,,,São José dos Ausentes,,,Pedreira,
,,,,Wanderley,,,,,,,João Pinheiro,,,,,,,,,,,,São João da Urtiga,,,Pedrinhas Paulista,
,,,,Wenceslau Guimarães,,,,,,,Juatuba,,,,,,,,,,,,São João do Polêsine,,,Pedro de Toledo,
,,,,Xique-Xique,,,,,,,Juiz de Fora,,,,,,,,,,,,São Leopoldo,,,Penápolis,
,,,,Água Fria,,,,,,,Juramento,,,,,,,,,,,,São Lourenço do Sul,,,Pereira Barreto,
,,,,Érico Cardoso,,,,,,,Juruaia,,,,,,,,,,,,São Luiz Gonzaga,,,Pereiras,
,,,,,,,,,,,Juvenília,,,,,,,,,,,,São Marcos,,,Peruíbe,
,,,,,,,,,,,Ladainha,,,,,,,,,,,,São Martinho,,,Piacatu,
,,,,,,,,,,,Lagamar,,,,,,,,,,,,São Martinho da Serra,,,Piedade,
,,,,,,,,,,,Lagoa Dourada,,,,,,,,,,,,São Miguel das Missões,,,Pilar do Sul,
,,,,,,,,,,,Lagoa Formosa,,,,,,,,,,,,São Nicolau,,,Pindamonhangaba,
,,,,,,,,,,,Lagoa Grande,,,,,,,,,,,,São Paulo das Missões,,,Pindorama,
,,,,,,,,,,,Lagoa Santa,,,,,,,,,,,,São Pedro da Serra,,,Pinhalzinho,
,,,,,,,,,,,Lagoa da Prata,,,,,,,,,,,,São Pedro das Missões,,,Piquerobi,
,,,,,,,,,,,Lagoa dos Patos,,,,,,,,,,,,São Pedro do Butiá,,,Piquete,
,,,,,,,,,,,Lajinha,,,,,,,,,,,,São Pedro do Sul,,,Piracaia,
,,,,,,,,,,,Lambari,,,,,,,,,,,,São Sebastião do Caí,,,Piracicaba,
,,,,,,,,,,,Lamim,,,,,,,,,,,,São Sepé,,,Piraju,
,,,,,,,,,,,Laranjal,,,,,,,,,,,,São Valentim,,,Pirajuí,
,,,,,,,,,,,Lassance,,,,,,,,,,,,São Valentim do Sul,,,Pirangi,
,,,,,,,,,,,Lavras,,,,,,,,,,,,São Valério do Sul,,,Pirapora do Bom Jesus,
,,,,,,,,,,,Leandro Ferreira,,,,,,,,,,,,São Vendelino,,,Pirapozinho,
,,,,,,,,,,,Leme do Prado,,,,,,,,,,,,São Vicente do Sul,,,Pirassununga,
,,,,,,,,,,,Leopoldina,,,,,,,,,,,,Sério,,,Piratininga,
,,,,,,,,,,,Liberdade,,,,,,,,,,,,Tabaí,,,Pitangueiras,
,,,,,,,,,,,Lima Duarte,,,,,,,,,,,,Tapejara,,,Planalto,
,,,,,,,,,,,Limeira do Oeste,,,,,,,,,,,,Tapera,,,Platina,
,,,,,,,,,,,Lontra,,,,,,,,,,,,Tapes,,,Poloni,
,,,,,,,,,,,Luisburgo,,,,,,,,,,,,Taquara,,,Pompéia,
,,,,,,,,,,,Luislândia,,,,,,,,,,,,Taquari,,,Pongaí,
,,,,,,,,,,,Luminárias,,,,,,,,,,,,Taquaruçu do Sul,,,Pontal,
,,,,,,,,,,,Luz,,,,,,,,,,,,Tavares,,,Pontalinda,
,,,,,,,,,,,Machacalis,,,,,,,,,,,,Tenente Portela,,,Pontes Gestal,
,,,,,,,,,,,Machado,,,,,,,,,,,,Terra de Areia,,,Populina,
,,,,,,,,,,,Madre de Deus de Minas,,,,,,,,,,,,Teutônia,,,Porangaba,
,,,,,,,,,,,Malacacheta,,,,,,,,,,,,Tio Hugo,,,Porto Feliz,
,,,,,,,,,,,Mamonas,,,,,,,,,,,,Tiradentes do Sul,,,Porto Ferreira,
,,,,,,,,,,,Manga,,,,,,,,,,,,Toropi,,,Potim,
,,,,,,,,,,,Manhuaçu,,,,,,,,,,,,Torres,,,Potirendaba,
,,,,,,,,,,,Manhumirim,,,,,,,,,,,,Tramandaí,,,Poá,
,,,,,,,,,,,Mantena,,,,,,,,,,,,Travesseiro,,,Pracinha,
,,,,,,,,,,,Mar de Espanha,,,,,,,,,,,,Trindade do Sul,,,Pradópolis,
,,,,,,,,,,,Maravilhas,,,,,,,,,,,,Triunfo,,,Praia Grande,
,,,,,,,,,,,Maria da Fé,,,,,,,,,,,,Três Arroios,,,Pratânia,
,,,,,,,,,,,Mariana,,,,,,,,,,,,Três Cachoeiras,,,Presidente Alves,
,,,,,,,,,,,Marilac,,,,,,,,,,,,Três Coroas,,,Presidente Bernardes,
,,,,,,,,,,,Maripá de Minas,,,,,,,,,,,,Três Forquilhas,,,Presidente Epitácio,
,,,,,,,,,,,Marliéria,,,,,,,,,,,,Três Palmeiras,,,Presidente Prudente,
,,,,,,,,,,,Marmelópolis,,,,,,,,,,,,Três Passos,,,Presidente Venceslau,
,,,,,,,,,,,Martinho Campos,,,,,,,,,,,,Três de Maio,,,Promissão,
,,,,,,,,,,,Martins Soares,,,,,,,,,,,,Tucunduva,,,Quadra,
,,,,,,,,,,,Mata Verde,,,,,,,,,,,,Tunas,,,Quatá,
,,,,,,,,,,,Materlândia,,,,,,,,,,,,Tupanci do Sul,,,Queiroz,
,,,,,,,,,,,Mateus Leme,,,,,,,,,,,,Tupanciretã,,,Queluz,
,,,,,,,,,,,Mathias Lobato,,,,,,,,,,,,Tupandi,,,Quintana,
,,,,,,,,,,,Matias Barbosa,,,,,,,,,,,,Tuparendi,,,Rafard,
,,,,,,,,,,,Matias Cardoso,,,,,,,,,,,,Turuçu,,,Rancharia,
,,,,,,,,,,,Matipó,,,,,,,,,,,,Ubiretama,,,Redenção da Serra,
,,,,,,,,,,,Mato Verde,,,,,,,,,,,,Unistalda,,,Regente Feijó,
,,,,,,,,,,,Matozinhos,,,,,,,,,,,,União da Serra,,,Reginópolis,
,,,,,,,,,,,Matutina,,,,,,,,,,,,Uruguaiana,,,Registro,
,,,,,,,,,,,Medeiros,,,,,,,,,,,,Vacaria,,,Restinga,
,,,,,,,,,,,Medina,,,,,,,,,,,,Vale Real,,,Ribeira,
,,,,,,,,,,,Mendes Pimentel,,,,,,,,,,,,Vale Verde,,,Ribeirão Bonito,
,,,,,,,,,,,Mercês,,,,,,,,,,,,Vale do Sol,,,Ribeirão Branco,
,,,,,,,,,,,Mesquita,,,,,,,,,,,,Vanini,,,Ribeirão Corrente,
